snapped_at,price,market_cap,total_volume,hash_rate
2013-10-04 00:00:00 UTC,128.2600,1512486811.0000,0.0000,1472170667126080
2013-10-05 00:00:00 UTC,129.5700,1528611793.0000,0.0000,1331611658707000
2013-10-06 00:00:00 UTC,127.5600,1505549223.0000,0.0000,1620127518093520
2013-10-07 00:00:00 UTC,128.3800,1515724889.0000,0.0000,1368600871448870
2013-10-08 00:00:00 UTC,125.7200,1484816060.0000,0.0000,1467838622264290
2013-10-09 00:00:00 UTC,130.9000,1546580228.0000,0.0000,1524293953889840
2013-10-10 00:00:00 UTC,129.6800,1532820842.0000,0.0000,1674841504891310
2013-10-11 00:00:00 UTC,130.2700,1540367845.0000,0.0000,1806570612017590
2013-10-12 00:00:00 UTC,135.3500,1601082220.0000,0.0000,1740706058454450
2013-10-13 00:00:00 UTC,135.4800,1603402413.0000,0.0000,2013573494644610
2013-10-14 00:00:00 UTC,140.4800,1663458800.0000,0.0000,2079438048207750
2013-10-15 00:00:00 UTC,143.8900,1704751164.0000,0.0000,2352305484397910
2013-10-16 00:00:00 UTC,143.6100,1702245233.0000,0.0000,2446397703773820
2013-10-17 00:00:00 UTC,146.1500,1732995548.0000,0.0000,1975936606894240
2013-10-18 00:00:00 UTC,151.3400,1795176162.0000,0.0000,2222601764204650
2013-10-19 00:00:00 UTC,170.5100,2023531688.0000,0.0000,2555326579205340
2013-10-20 00:00:00 UTC,172.0100,2042261829.0000,0.0000,2967905349806210
2013-10-21 00:00:00 UTC,181.4100,2154778910.0000,0.0000,2648489527405540
2013-10-22 00:00:00 UTC,193.4500,2298993654.0000,0.0000,2808197438605870
2013-10-23 00:00:00 UTC,206.7800,2458505640.0000,0.0000,3260703187006820
2013-10-24 00:00:00 UTC,198.8000,2364666360.0000,0.0000,2941287364606150
2013-10-25 00:00:00 UTC,172.4800,2052637048.0000,0.0000,2861433409005980
2013-10-26 00:00:00 UTC,178.9600,2130644072.0000,0.0000,3127613261006540
2013-10-27 00:00:00 UTC,189.8300,2260913266.0000,0.0000,3536837929983390
2013-10-28 00:00:00 UTC,198.5500,2365643830.0000,0.0000,3478538403664980
2013-10-29 00:00:00 UTC,204.3900,2436022215.0000,0.0000,3400805701907110
2013-10-30 00:00:00 UTC,204.2000,2434768490.0000,0.0000,3109308070315070
2013-10-31 00:00:00 UTC,203.8800,2432069229.0000,0.0000,3789469210696490
2013-11-01 00:00:00 UTC,205.2600,2449516394.0000,0.0000,4100400017728000
2013-11-02 00:00:00 UTC,206.8900,2470106260.0000,0.0000,4042100491409590
2013-11-03 00:00:00 UTC,212.4500,2537555912.0000,0.0000,3925501438772770
2013-11-04 00:00:00 UTC,226.2800,2703825377.0000,0.0000,3731169684378080
2013-11-05 00:00:00 UTC,230.6300,2756789579.0000,0.0000,3789469210696490
2013-11-06 00:00:00 UTC,260.8500,3119094311.0000,0.0000,3381372526467640
2013-11-07 00:00:00 UTC,295.6300,3536067384.0000,0.0000,4139948171287130
2013-11-08 00:00:00 UTC,332.0200,3972444990.0000,0.0000,3657377525554270
2013-11-09 00:00:00 UTC,358.0000,4284552950.0000,0.0000,3403392975168560
2013-11-10 00:00:00 UTC,313.0000,3747322075.0000,0.0000,3758971345708560
2013-11-11 00:00:00 UTC,340.5500,4078792891.0000,0.0000,4343135811595700
2013-11-12 00:00:00 UTC,355.4800,4259334699.0000,0.0000,4749511092212840
2013-11-13 00:00:00 UTC,404.1700,4844512975.0000,0.0000,5105089462752840
2013-11-14 00:00:00 UTC,408.8400,4902328893.0000,0.0000,4266940446479990
2013-11-15 00:00:00 UTC,424.1600,5087746180.0000,0.0000,4647917272058560
2013-11-16 00:00:00 UTC,437.4100,5248843453.0000,0.0000,4216143536402850
2013-11-17 00:00:00 UTC,488.3600,5862542038.0000,0.0000,4927300277482840
2013-11-18 00:00:00 UTC,580.8700,6975450004.0000,0.0000,4724112637174270
2013-11-19 00:00:00 UTC,614.4000,7380464640.0000,0.0000,4726417542884180
2013-11-20 00:00:00 UTC,565.3400,6793450510.0000,0.0000,4877905284643290
2013-11-21 00:00:00 UTC,675.0600,8114440594.0000,0.0000,4968797929698760
2013-11-22 00:00:00 UTC,731.1500,8790506777.0000,0.0000,4544632252773250
2013-11-23 00:00:00 UTC,819.3100,9853534129.0000,0.0000,5211178316513330
2013-11-24 00:00:00 UTC,764.4300,9196532447.0000,0.0000,5150583219809690
2013-11-25 00:00:00 UTC,793.0700,9544775891.0000,0.0000,5089988123106040
2013-11-26 00:00:00 UTC,832.9300,10028164851.0000,0.0000,5241475864865150
2013-11-27 00:00:00 UTC,914.1300,11009416068.0000,0.0000,4817310187939650
2013-11-28 00:00:00 UTC,979.0800,11795833455.0000,0.0000,5241475864865150
2013-11-29 00:00:00 UTC,1101.8300,13280659993.0000,0.0000,5483856251679730
2013-11-30 00:00:00 UTC,1127.4500,13593664650.0000,0.0000,5241475864865150
2013-12-01 00:00:00 UTC,1033.3900,12464724345.0000,0.0000,6189120342010940
2013-12-02 00:00:00 UTC,974.0300,11753157346.0000,0.0000,6857264015296220
2013-12-03 00:00:00 UTC,1078.6400,13020236474.0000,0.0000,5591307581703070
2013-12-04 00:00:00 UTC,1121.4800,13542487814.0000,0.0000,7033091297739710
2013-12-05 00:00:00 UTC,989.0400,11947405392.0000,0.0000,6013293059567450
2013-12-06 00:00:00 UTC,1019.6600,12322234219.0000,0.0000,5978127603078750
2013-12-07 00:00:00 UTC,811.9800,9816777302.0000,0.0000,7314414949649300
